pseudoword,syllable_length,quality_flag,source_method,component_syllables,corpus_match_status,possible_meaning_warning,review_status,notes
căng mục thấm,3,high,v3_recombined_attested_vietnamese_syllables,căng | mục | thấm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tầng nguội tín,3,high,v3_recombined_attested_vietnamese_syllables,tầng | nguội | tín,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đùa thống săn,3,high,v3_recombined_attested_vietnamese_syllables,đùa | thống | săn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
luyến lành ngược tiến,4,high,v3_recombined_attested_vietnamese_syllables,luyến | lành | ngược | tiến,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tải nén hờn đĩa,4,high,v3_recombined_attested_vietnamese_syllables,tải | nén | hờn | đĩa,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngậy bày bạch tây,4,high,v3_recombined_attested_vietnamese_syllables,ngậy | bày | bạch | tây,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
dừa đĩa nhọn bén,4,high,v3_recombined_attested_vietnamese_syllables,dừa | đĩa | nhọn | bén,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tơi luận cốt nửa,4,high,v3_recombined_attested_vietnamese_syllables,tơi | luận | cốt | nửa,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
răm hiệu sạn chợt,4,high,v3_recombined_attested_vietnamese_syllables,răm | hiệu | sạn | chợt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
bọc lẫn cặp nàn,4,high,v3_recombined_attested_vietnamese_syllables,bọc | lẫn | cặp | nàn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tựa lập núi bưởi,4,high,v3_recombined_attested_vietnamese_syllables,tựa | lập | núi | bưởi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
răm chắn kiện chợ,4,high,v3_recombined_attested_vietnamese_syllables,răm | chắn | kiện | chợ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ánh mầu mắn tĩnh,4,high,v3_recombined_attested_vietnamese_syllables,ánh | mầu | mắn | tĩnh,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phía cổng đệm hoại,4,high,v3_recombined_attested_vietnamese_syllables,phía | cổng | đệm | hoại,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chào thoảng sợi phía,4,high,v3_recombined_attested_vietnamese_syllables,chào | thoảng | sợi | phía,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
gốm phóng đứt bậc,4,high,v3_recombined_attested_vietnamese_syllables,gốm | phóng | đứt | bậc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phút sành độc ống,4,high,v3_recombined_attested_vietnamese_syllables,phút | sành | độc | ống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lót hiếu sặc mạng,4,high,v3_recombined_attested_vietnamese_syllables,lót | hiếu | sặc | mạng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nguyễn già ngại nêm,4,high,v3_recombined_attested_vietnamese_syllables,nguyễn | già | ngại | nêm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hẳn vĩnh rào đợi,4,high,v3_recombined_attested_vietnamese_syllables,hẳn | vĩnh | rào | đợi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngô dừng cào rách,4,high,v3_recombined_attested_vietnamese_syllables,ngô | dừng | cào | rách,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hến phê nhàm ngực,4,high,v3_recombined_attested_vietnamese_syllables,hến | phê | nhàm | ngực,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hòa họp cẩm ngợi,4,high,v3_recombined_attested_vietnamese_syllables,hòa | họp | cẩm | ngợi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngọc vãn đuông tốn,4,high,v3_recombined_attested_vietnamese_syllables,ngọc | vãn | đuông | tốn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
địa nguyện quà bống,4,high,v3_recombined_attested_vietnamese_syllables,địa | nguyện | quà | bống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nghỉ xiêm cốt đớn,4,high,v3_recombined_attested_vietnamese_syllables,nghỉ | xiêm | cốt | đớn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ứng kính gối chì,4,high,v3_recombined_attested_vietnamese_syllables,ứng | kính | gối | chì,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngươi đúc ngoại lệch,4,high,v3_recombined_attested_vietnamese_syllables,ngươi | đúc | ngoại | lệch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
gượng nghiên thờ biểu,4,high,v3_recombined_attested_vietnamese_syllables,gượng | nghiên | thờ | biểu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
mèo hoạt gốm hứng,4,high,v3_recombined_attested_vietnamese_syllables,mèo | hoạt | gốm | hứng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
bốc buổi sạn dịu,4,high,v3_recombined_attested_vietnamese_syllables,bốc | buổi | sạn | dịu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
móc cối cháu chợ,4,high,v3_recombined_attested_vietnamese_syllables,móc | cối | cháu | chợ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
muỗng giành hại dám,4,high,v3_recombined_attested_vietnamese_syllables,muỗng | giành | hại | dám,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hướng hận kiều tầm,4,high,v3_recombined_attested_vietnamese_syllables,hướng | hận | kiều | tầm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cào dừa ngâm chữa,4,high,v3_recombined_attested_vietnamese_syllables,cào | dừa | ngâm | chữa,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chạm ngồi xuôi rưới,4,high,v3_recombined_attested_vietnamese_syllables,chạm | ngồi | xuôi | rưới,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
dép xứng dường vững,4,high,v3_recombined_attested_vietnamese_syllables,dép | xứng | dường | vững,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ngồi phút thiếu ngữ,4,high,v3_recombined_attested_vietnamese_syllables,ngồi | phút | thiếu | ngữ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kiểm thắm chứng vọng,4,high,v3_recombined_attested_vietnamese_syllables,kiểm | thắm | chứng | vọng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đốc quáng trì rồng,4,high,v3_recombined_attested_vietnamese_syllables,đốc | quáng | trì | rồng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đựng hữu chớ lạng,4,high,v3_recombined_attested_vietnamese_syllables,đựng | hữu | chớ | lạng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cổng dưa nồi cấu,4,high,v3_recombined_attested_vietnamese_syllables,cổng | dưa | nồi | cấu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
giặt huế dằn đãi,4,high,v3_recombined_attested_vietnamese_syllables,giặt | huế | dằn | đãi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
sắm xốp dạng rưới,4,high,v3_recombined_attested_vietnamese_syllables,sắm | xốp | dạng | rưới,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nhắn tận tông phán,4,high,v3_recombined_attested_vietnamese_syllables,nhắn | tận | tông | phán,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
thấm hỏng trống băng,4,high,v3_recombined_attested_vietnamese_syllables,thấm | hỏng | trống | băng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
ruột chữa hoạch tốn,4,high,v3_recombined_attested_vietnamese_syllables,ruột | chữa | hoạch | tốn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kèm mái phấn ruột,4,high,v3_recombined_attested_vietnamese_syllables,kèm | mái | phấn | ruột,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đạc muội xấu nâu,4,high,v3_recombined_attested_vietnamese_syllables,đạc | muội | xấu | nâu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
thánh sôi cặn tơi,4,high,v3_recombined_attested_vietnamese_syllables,thánh | sôi | cặn | tơi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
kiếm đun răng nhạc,4,high,v3_recombined_attested_vietnamese_syllables,kiếm | đun | răng | nhạc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
vắt mọc ngạc nhúng,4,high,v3_recombined_attested_vietnamese_syllables,vắt | mọc | ngạc | nhúng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nỗi thoảng dáng húng,4,high,v3_recombined_attested_vietnamese_syllables,nỗi | thoảng | dáng | húng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
mặc chả kính cắn,4,high,v3_recombined_attested_vietnamese_syllables,mặc | chả | kính | cắn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
bùi dương tục trà,4,high,v3_recombined_attested_vietnamese_syllables,bùi | dương | tục | trà,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
vốn giếng đăng ngô,4,high,v3_recombined_attested_vietnamese_syllables,vốn | giếng | đăng | ngô,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tổng đuổi xài phục,4,high,v3_recombined_attested_vietnamese_syllables,tổng | đuổi | xài | phục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
gũi dây hôm đùa,4,high,v3_recombined_attested_vietnamese_syllables,gũi | dây | hôm | đùa,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tôn trưng trụ tắt,4,high,v3_recombined_attested_vietnamese_syllables,tôn | trưng | trụ | tắt,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
sắm đòi trợ trục,4,high,v3_recombined_attested_vietnamese_syllables,sắm | đòi | trợ | trục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cởi luận hút chiếm,4,high,v3_recombined_attested_vietnamese_syllables,cởi | luận | hút | chiếm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phê đam đắn mùng,4,high,v3_recombined_attested_vietnamese_syllables,phê | đam | đắn | mùng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lưng váy đám cỏi,4,high,v3_recombined_attested_vietnamese_syllables,lưng | váy | đám | cỏi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
bát lâm nhặt chẻ,4,high,v3_recombined_attested_vietnamese_syllables,bát | lâm | nhặt | chẻ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tránh vấp chớ ruột,4,high,v3_recombined_attested_vietnamese_syllables,tránh | vấp | chớ | ruột,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
hưởng tảo đậy mút,4,high,v3_recombined_attested_vietnamese_syllables,hưởng | tảo | đậy | mút,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
trút kiều chạm mút,4,high,v3_recombined_attested_vietnamese_syllables,trút | kiều | chạm | mút,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
quân hiểm chải nhịn,4,high,v3_recombined_attested_vietnamese_syllables,quân | hiểm | chải | nhịn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
vân yếu nhóm tám,4,high,v3_recombined_attested_vietnamese_syllables,vân | yếu | nhóm | tám,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
góp đăng vọng nhạy,4,high,v3_recombined_attested_vietnamese_syllables,góp | đăng | vọng | nhạy,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nổi lông mục thống,4,high,v3_recombined_attested_vietnamese_syllables,nổi | lông | mục | thống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
nhựa phó thổ vòng,4,high,v3_recombined_attested_vietnamese_syllables,nhựa | phó | thổ | vòng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chỉnh chuỗi thác lão,4,high,v3_recombined_attested_vietnamese_syllables,chỉnh | chuỗi | thác | lão,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
tên dương thô tập,4,high,v3_recombined_attested_vietnamese_syllables,tên | dương | thô | tập,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
giặt dọc tận chuông,4,high,v3_recombined_attested_vietnamese_syllables,giặt | dọc | tận | chuông,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
xào nệm vời ước,4,high,v3_recombined_attested_vietnamese_syllables,xào | nệm | vời | ước,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
lưỡng cánh biên cỏi,4,high,v3_recombined_attested_vietnamese_syllables,lưỡng | cánh | biên | cỏi,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
phổ biểu hùng dẹp,4,high,v3_recombined_attested_vietnamese_syllables,phổ | biểu | hùng | dẹp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chụp tám nhậu tấm,4,high,v3_recombined_attested_vietnamese_syllables,chụp | tám | nhậu | tấm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đạc ngược nghệ hàu,4,high,v3_recombined_attested_vietnamese_syllables,đạc | ngược | nghệ | hàu,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
đạt mềm phộng rối,4,high,v3_recombined_attested_vietnamese_syllables,đạt | mềm | phộng | rối,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
cực tần quản chết,4,high,v3_recombined_attested_vietnamese_syllables,cực | tần | quản | chết,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
chát tĩnh chì thắm,4,high,v3_recombined_attested_vietnamese_syllables,chát | tĩnh | chì | thắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,real Vietnamese syllables recombined into unattested sequence
